Sample,DryFrozen,Site,PLOT,%ECM,Vial #,Sampling date,SampleMonth,SampleYear,Depth,Pair,input,filtered,denoisedF,denoisedR,merged,nonchim,final_perc_reads_retained
P115-0-5-7-D-AMFungi,Dry,Griffy Woods,15,26.5,7,13-Jul,7,2013,5,1,26482,22676,22290,22372,22046,18860,71.2
GW-P115-7-F-AMFungi,Frozen,Griffy Woods,15,26.5,7,13-Jul,7,2013,5,1,12893,10768,10214,10548,10037,8064,62.5
P115-5-15-22-D-AMFungi,Dry,Griffy Woods,15,26.5,22,13-Jul,7,2013,15,2,7351,6311,6197,6186,6094,4392,59.7
P115-22-F-AMFungi,Frozen,Griffy Woods,15,26.5,22,13-Jul,7,2013,15,2,13456,10718,10320,10527,10157,8424,62.6
P122-0-5-10-D-AMFungi,Dry,Griffy Woods,22,92.6,10,13-Jul,7,2013,5,4,9382,8330,8096,8164,7947,6785,72.3
P122-10-F-AMFungi,Frozen,Griffy Woods,22,92.6,10,13-Jul,7,2013,5,4,10774,9488,9139,9227,8925,6525,60.6
P122-25-D-AMFungi,Dry,Griffy Woods,22,92.6,25,13-Jul,7,2013,15,5,42011,37481,37072,37112,36729,26096,62.1
P122-25-F-AMFungi,Frozen,Griffy Woods,22,92.6,25,13-Jul,7,2013,15,5,44241,39348,38738,38781,38206,30096,68
P133-0-5-15-D-AMFungi,Dry,Griffy Woods,33,10.8,15,13-Jul,7,2013,5,6,20570,17641,17130,17322,16852,11118,54
P133-15-F-AMFungi,Frozen,Griffy Woods,33,10.8,15,13-Jul,7,2013,5,6,21837,19116,18377,18809,18147,15552,71.2
P133-5-15-30-D-AMFungi,Dry,Griffy Woods,33,10.8,30,13-Jul,7,2013,15,7,11651,10212,10018,10100,9921,7370,63.3
P133-30-F-AMFungi,Frozen,Griffy Woods,33,10.8,30,13-Jul,7,2013,15,7,12639,11000,10614,10854,10493,8893,70.4
P117-5-15-51-D-AMFungi,Dry,Lilly-Dickey Woods,17,92,51,13-Nov,11,2013,15,8,18101,15997,15709,15725,15479,11377,62.9
DW-17-5-15-51-F-AMFungi,Frozen,Lilly-Dickey Woods,17,92,51,13-Nov,11,2013,15,8,13574,11831,11655,11698,11545,9749,71.8
P138-5-15-60-D-AMFungi,Dry,Lilly-Dickey Woods,38,94.6,60,13-Nov,11,2013,15,10,20351,18169,17964,18052,17873,16336,80.3
DW-38-5-15-60-F-AMFungi,Frozen,Lilly-Dickey Woods,38,94.6,60,13-Nov,11,2013,15,10,12572,10970,10749,10723,10535,7843,62.4
P138-0-5-45-D-AMFungi,Dry,Lilly-Dickey Woods,38,94.6,45,13-Nov,11,2013,5,11,18342,15863,15490,15553,15216,13076,71.3
LDW-38-0-5--45-F-AMFungi,Frozen,Lilly-Dickey Woods,38,94.6,45,13-Nov,11,2013,5,11,19588,17037,16425,16548,16005,10763,54.9
P141-0-5-95-D-AMFungi,Dry,Lilly-Dickey Woods,41,0,95,13-Nov,11,2013,5,12,10512,9107,8883,8911,8715,6800,64.7
LDW-41-0-5-95-F-AMFungi,Frozen,Lilly-Dickey Woods,41,0,95,13-Nov,11,2013,5,12,10592,8971,8486,8713,8284,5897,55.7
AM2-UF-0-5-D-AMFungi,Dry,Moore's Creek,AM2-UF,0,-,5-Sep-20,9,2020,5,13,16951,14821,14173,14364,13790,9008,53.1
AM2-UF-0-5-F-AMFungi,Frozen,Moore's Creek,AM2-UF,0,-,5-Sep-20,9,2020,5,13,15770,13622,12982,13320,12751,9458,60
AM2-UF-5-15-D-AMFungi,Dry,Moore's Creek,AM2-UF,0,-,5-Sep-20,9,2020,15,14,18925,16623,16140,16372,15939,12172,64.3
AM2-UF-5-15-F-AMFungi,Frozen,Moore's Creek,AM2-UF,0,-,5-Sep-20,9,2020,15,14,14027,12129,11623,11762,11321,7894,56.3
AM3-UF-0-5-D-AMFungi,Dry,Moore's Creek,AM3-UF,0,-,5-Sep-20,9,2020,5,15,20342,17820,16995,17335,16607,11293,55.5
AM3-UF-0-5-F-AMFungi,Frozen,Moore's Creek,AM3-UF,0,-,5-Sep-20,9,2020,5,15,15623,13555,12866,13210,12589,8580,54.9
AM3-UF-5-15-D-AMFungi,Dry,Moore's Creek,AM3-UF,0,-,5-Sep-20,9,2020,15,16,20595,17962,17527,17715,17329,13749,66.8
AM3-UF-5-15-F-AMFungi,Frozen,Moore's Creek,AM3-UF,0,-,5-Sep-20,9,2020,15,16,19450,17030,16624,16772,16399,12878,66.2
ECM2-UF-5-15-D-AMFungi,Dry,Moore's Creek,ECM2-UF,93.5,-,5-Sep-20,9,2020,15,17,13029,11324,11033,11112,10841,8260,63.4
ECM2-5-15-F-AMFungi,Frozen,Moore's Creek,ECM2-UF,93.5,-,5-Sep-20,9,2020,15,17,13943,12252,11970,11988,11738,8424,60.4
ECM2-UF-0-5-D-AMFungi,Dry,Moore's Creek,ECM2-UF,93.5,-,5-Sep-20,9,2020,5,18,24311,21111,20623,20697,20266,13900,57.2
ECM2-UF-0-5-F-AMFungi,Frozen,Moore's Creek,ECM2-UF,93.5,-,5-Sep-20,9,2020,5,18,30043,25815,25276,25293,24805,16641,55.4
MV6-Ref-0-5-D-AMFungi,Dry,Moore's Creek,MV6-Ref,51.3,-,5-Sep-20,9,2020,5,20,22684,19497,18962,19054,18577,10881,48
MV6-Ref-0-5-F-AMFungi,Frozen,Moore's Creek,MV6-Ref,51.3,-,5-Sep-20,9,2020,5,20,23180,19842,19531,19547,19268,14969,64.6
MV6-Ref-5-15-D-AMFungi,Dry,Moore's Creek,MV6-Ref,51.3,-,5-Sep-20,9,2020,15,21,30768,27406,26909,26952,26517,18623,60.5
MV6-Ref-5-15-F-AMFungi,Frozen,Moore's Creek,MV6-Ref,51.3,-,5-Sep-20,9,2020,15,21,16577,14326,13957,14084,13758,10578,63.8
MV9-Ref-0-5-D-AMFungi,Dry,Moore's Creek,MV9-Ref,56.3,-,5-Sep-20,9,2020,5,22,20836,18286,17733,17926,17429,12647,60.7
MV9-Ref-0-5-F-AMFungi,Frozen,Moore's Creek,MV9-Ref,56.3,-,5-Sep-20,9,2020,5,22,12081,10631,10347,10417,10184,7045,58.3
MV9-Ref-5-15-D-AMFungi,Dry,Moore's Creek,MV9-Ref,56.3,-,5-Sep-20,9,2020,15,23,14793,12855,12444,12512,12146,8741,59.1
MV9-Ref-5-15-F-AMFungi,Frozen,Moore's Creek,MV9-Ref,56.3,-,5-Sep-20,9,2020,15,23,18044,15615,15069,15323,14815,10480,58.1
123-0-5-67-D-AMFungi,Dry,Morgan Monroe State Forest,23,15.8,67,13-Nov,11,2013,5,24,17376,14935,14399,14535,14060,10522,60.6
23-0-5-67-F-AMFungi,Frozen,Morgan Monroe State Forest,23,15.8,67,13-Nov,11,2013,5,24,18955,16541,15824,16138,15495,11223,59.2
P123-5-15-D-AMFungi,Dry,Morgan Monroe State Forest,23,15.8,82,13-Nov,11,2013,15,25,17652,15087,14812,14891,14652,9948,56.4
23-5-15-82-F-AMFungi,Frozen,Morgan Monroe State Forest,23,15.8,82,13-Nov,11,2013,15,25,18709,16183,15574,15860,15309,11069,59.2
P24-0-5-68-D-AMFungi,Dry,Morgan Monroe State Forest,24,2.9,68,13-Nov,11,2013,5,27,47205,42104,41440,41540,40938,31461,66.6
P24-0-5-68-F-AMFungi,Frozen,Morgan Monroe State Forest,24,2.9,68,13-Nov,11,2013,5,27,94352,84233,82501,83106,81517,60806,64.4
P102-0-5-73-D-AMFungi,Dry,Morgan Monroe State Forest,102,95.5,73,13-Nov,11,2013,5,28,10680,9420,9154,9199,8967,7430,69.6
102-0-5-73-F-AMFungi,Frozen,Morgan Monroe State Forest,102,95.5,73,13-Nov,11,2013,5,28,14365,12524,12137,12241,11894,9771,68
P102-5-15-D-AMFungi,Dry,Morgan Monroe State Forest,102,95.5,73,13-Nov,11,2013,15,32,49515,44730,44170,44100,43573,32546,65.7
P102-5-15-F-AMFungi,Frozen,Morgan Monroe State Forest,102,95.5,73,13-Nov,11,2013,15,32,43280,38294,37686,37703,37149,28256,65.3
P102-0-5-D-AMFungi,Dry,Morgan Monroe State Forest,102,95.5,73,13-Nov,11,2013,5,33,13584,11768,11249,11529,11073,8214,60.5
P102-0-5-F-AMFungi,Frozen,Morgan Monroe State Forest,102,95.5,73,13-Nov,11,2013,5,33,22435,19005,18360,18623,18039,13782,61.4
P18-0-5-D-AMFungi,Dry,Morgan Monroe State Forest,PfEC MMSF 18,0,-,11-Sep-20,9,2020,5,34,12618,10782,10271,10519,10069,7334,58.1
P18-0-5-F-AMFungi,Frozen,Morgan Monroe State Forest,PfEC MMSF 18,0,-,11-Sep-20,9,2020,5,34,19648,16954,16363,16526,15993,11380,57.9
P18-5-15-D-AMFungi,Dry,Morgan Monroe State Forest,PfEC MMSF 18,0,-,11-Sep-20,9,2020,15,35,36160,30690,29961,30158,29487,20227,55.9
P18-5-15-F-AMFungi,Frozen,Morgan Monroe State Forest,PfEC MMSF 18,0,-,11-Sep-20,9,2020,15,35,22933,19440,18784,19089,18498,13566,59.2
P19-5-15-D-AMFungi,Dry,Morgan Monroe State Forest,PfEC MMSF 19,21.2,-,11-Sep-20,9,2020,15,36,18866,16645,15937,16321,15685,10287,54.5
P19-5-15-F-AMFungi,Frozen,Morgan Monroe State Forest,PfEC MMSF 19,21.2,-,11-Sep-20,9,2020,15,36,13829,12089,11669,11870,11487,8891,64.3
P4-0-5-D-AMFungi,Dry,Morgan Monroe State Forest,PfEC MMSF 4,53.6,-,11-Sep-20,9,2020,5,37,38558,35035,34253,34437,33710,24088,62.5
P4-0-5-F-AMFungi,Frozen,Morgan Monroe State Forest,PfEC MMSF 4,53.6,-,11-Sep-20,9,2020,5,37,46276,39916,38673,39341,38204,29581,63.9
P4-5-15-D-AMFungi,Dry,Morgan Monroe State Forest,PfEC MMSF 4,53.6,-,11-Sep-20,9,2020,15,38,21625,19050,18550,18712,18239,13187,61
P4-5-15-F-AMFungi,Frozen,Morgan Monroe State Forest,PfEC MMSF 4,53.6,-,11-Sep-20,9,2020,15,38,24570,21442,21002,21088,20699,15593,63.5
P55-0-5-D-AMFungi,Dry,Morgan Monroe State Forest,PfEC MMSF 55,92.6,-,11-Sep-20,9,2020,5,39,19239,16691,16118,16299,15784,11095,57.7
P55-0-5-F-AMFungi,Frozen,Morgan Monroe State Forest,PfEC MMSF 55,92.6,-,11-Sep-20,9,2020,5,39,27670,23850,23234,23396,22848,16552,59.8
P55-5-15-D-AMFungi,Dry,Morgan Monroe State Forest,PfEC MMSF 55,92.6,-,11-Sep-20,9,2020,15,40,11363,9997,9668,9733,9434,6811,59.9
P55-5-15-F-AMFungi,Frozen,Morgan Monroe State Forest,PfEC MMSF 55,92.6,-,11-Sep-20,9,2020,15,40,11048,9681,9430,9452,9237,6992,63.3
P6-0-5-D-AMFungi,Dry,Morgan Monroe State Forest,PfEC MMSF 6,55.6,-,11-Sep-20,9,2020,5,41,12746,11210,10862,10876,10581,7546,59.2
P6-0-5-F-AMFungi,Frozen,Morgan Monroe State Forest,PfEC MMSF 6,55.6,-,11-Sep-20,9,2020,5,41,12671,10915,10595,10709,10420,8303,65.5
P6-5-15-D-AMFungi,Dry,Morgan Monroe State Forest,PfEC MMSF 6,55.6,-,11-Sep-20,9,2020,15,42,12299,11024,10786,10851,10640,7175,58.3
P6-5-15-F-AMFungi,Frozen,Morgan Monroe State Forest,PfEC MMSF 6,55.6,-,11-Sep-20,9,2020,15,42,15887,13816,13437,13567,13239,11070,69.7